Imagen;No;Sí;Porcentaje
I3069;38;33;46%
I2683;40;31;44%
I3212;41;30;42%
I3068;45;26;37%
I9412;46;25;35%
I7650;47;24;34%
I1726;49;22;31%
I3019;49;22;31%
I3213;50;21;30%
I4692;50;21;30%
I8179;50;21;30%
I9908;50;21;30%
I5301;52;19;27%
I6520;52;19;27%
I8158;52;19;27%
I8341;52;19;27%
I9187;52;19;27%
I1525;53;18;25%
I1820;53;18;25%
I3005.1;53;18;25%
I3195;53;18;25%
I4628;53;18;25%
I5829;53;18;25%
I8206;53;18;25%
I1932;54;17;24%
I7492;54;17;24%
I2347;55;16;23%
I2694;55;16;23%
I7440;55;16;23%
I9940;56;15;21%
I1205;57;14;20%
I6415;57;14;20%
I7033;57;14;20%
I7461;57;14;20%
I9321;57;14;20%
I9435;57;14;20%
I2688;58;13;18%
I3059;58;13;18%
I4623;58;13;18%
I4693;58;13;18%
I6563;58;13;18%
I8192;58;13;18%
I2981;59;12;17%
I4597;59;12;17%
I7660;59;12;17%
I8186;59;12;17%
I8191;59;12;17%
I8251;59;12;17%
I9185;59;12;17%
I2071;60;11;15%
I3310;60;11;15%
I4142;60;11;15%
I7405;60;11;15%
I8193;60;11;15%
I8475;60;11;15%
I9413;60;11;15%
I1271;61;10;14%
I4616;61;10;14%
I4677;61;10;14%
I8178;61;10;14%
I9635.1;61;10;14%
I1114;62;9;13%
I2151;62;9;13%
I5215;62;9;13%
I6555;62;9;13%
I9163;62;9;13%
I1595;63;8;11%
I4676;63;8;11%
I6315;63;8;11%
I8163;63;8;11%
I9904;63;8;11%
I4008;64;7;10%
I4668;64;7;10%
I6240;64;7;10%
I8211;64;7;10%
I8208;65;6;8%
I2155;66;5;7%
I4071;66;5;7%
I4698;66;5;7%
I8485;66;5;7%
